YEAR BUILT,TOTAL WATER USE (kgal),PROPERTY TYPE,POSTAL CODE,OUTDOOR WATER USE (kgal),NUMBER OF BUILDINGS,INDOOR WATER USE (kgal),GROSS BUILDING FLOOR AREA (ft²)
,,,90006,,,,
1978.0,904.4,Multifamily Housing,90291,Not Available,1.0,Not Available,30261.0
2009.0,3198.7,Non-Refrigerated Warehouse,91311,Not Available,1.0,Not Available,162766.0
1988.0,264.4,Self-Storage Facility,91342,Not Available,4.0,Not Available,97313.0
1977.0,2908.4,Multifamily Housing,91311,Not Available,1.0,Not Available,33580.0
,,,90021,,,,
,,,91602,,,,
1987.0,3921.2,Office,90017,Not Available,1.0,3921.2,490000.0
,,,90014,,,,
1979.0,8845.2,Multifamily Housing,90057,Not Available,1.0,Not Available,136412.0
,,,91602,,,,
,,,90001,,,,
,,,91401,,,,
,,,90025,,,,
,,,90028,,,,
,,,90027,,,,
,,,90005,,,,
1990.0,743.6,Multifamily Housing,90291,Not Available,1.0,Not Available,27700.0
1990.0,1315.8,Multifamily Housing,90025,Not Available,1.0,Not Available,37362.0
,,,90025,,,,
2006.0,1043.5,Multifamily Housing,90028,Not Available,1.0,Not Available,42653.0
1928.0,1.1,Multifamily Housing,90028,Not Available,1.0,Not Available,23520.0
1964.0,963.5,Multifamily Housing,91304,Not Available,1.0,Not Available,30800.0
1966.0,925.3,Multifamily Housing,90025,Not Available,1.0,Not Available,29170.0
1964.0,1669.7,Multifamily Housing,91304,Not Available,1.0,Not Available,20260.0
2004.0,6646.3,Multifamily Housing,90293,Not Available,1.0,Not Available,183174.0
2009.0,Not Available,Supermarket/Grocery Store,90024,Not Available,1.0,Not Available,53271.0
1960.0,1226.8,Multifamily Housing,90025,Not Available,1.0,Not Available,30095.0
1997.0,917.9,Multifamily Housing,90066,Not Available,1.0,Not Available,21010.0
1985.0,10175,Multifamily Housing,90012,Not Available,2.0,Not Available,585026.0
2006.0,13087.2,Multifamily Housing,90017,Not Available,1.0,Not Available,294678.0
1963.0,1830.5,Multifamily Housing,91436,Not Available,1.0,Not Available,52871.0
2004.0,3479.3,Multifamily Housing,90293,Not Available,1.0,Not Available,93243.0
2009.0,3102.9,Multifamily Housing,91343,Not Available,1.0,Not Available,71306.0
,,,90007,,,,
1961.0,1570.9,K-12 School,91316,Not Available,1.0,Not Available,38000.0
1986.0,4595.3,Multifamily Housing,91344,Not Available,1.0,Not Available,73300.0
1971.0,2096,Multifamily Housing,91304,Not Available,1.0,Not Available,29834.0
,,,90018,,,,
,,,91342,,,,
2001.0,121,Self-Storage Facility,91605,Not Available,1.0,121,194008.0
,,,91335,,,,
,,,90024,,,,
2004.0,3812.1,Multifamily Housing,90066,Not Available,1.0,Not Available,88040.0
1984.0,4142,Office,90064,Not Available,1.0,4142,237534.0
1969.0,3259.1,Office,90067,Not Available,1.0,3259.1,516405.0
1964.0,1307.6,Multifamily Housing,91402,Not Available,1.0,Not Available,21854.0
2003.0,5539.1,Office,90067,Not Available,1.0,Not Available,810474.0
1985.0,779.5,Multifamily Housing,90034,Not Available,1.0,Not Available,24187.0
,,,90036,,,,
2004.0,1859.7,Multifamily Housing,90293,Not Available,1.0,Not Available,54795.0
1987.0,2173.1,Multifamily Housing,91042,Not Available,1.0,Not Available,19151.0
1984.0,1585.9,Multifamily Housing,91325,Not Available,1.0,Not Available,24516.0
1959.0,2479.8,Multifamily Housing,91607,Not Available,1.0,Not Available,26764.0
1965.0,2452.1,Multifamily Housing,91605,Not Available,1.0,Not Available,37826.0
2004.0,1625.3,Multifamily Housing,90066,Not Available,1.0,Not Available,88040.0
1901.0,902.2,Multifamily Housing,90007,Not Available,1.0,Not Available,27809.0
1962.0,235.6,Multifamily Housing,90028,Not Available,1.0,Not Available,65746.0
,,,91303,,,,
1978.0,938.1,Multifamily Housing,90291,Not Available,1.0,Not Available,30261.0
1973.0,385.2,Manufacturing/Industrial Plant,91311,Not Available,1.0,Not Available,30000.0
1968.0,1671.9,Multifamily Housing,91324,Not Available,1.0,Not Available,20300.0
2004.0,2408.5,Multifamily Housing,90066,Not Available,1.0,Not Available,88040.0
1984.0,98,Parking,90064,Not Available,1.0,Not Available,204763.0
1991.0,914.1,Multifamily Housing,90038,Not Available,1.0,Not Available,28744.0
1994.0,1341.2,Manufacturing/Industrial Plant,91342,1125.4,1.0,215.8,32114.0
,,,90017,,,,
,,,90013,,,,
1971.0,1942.7,Multifamily Housing,91316,Not Available,1.0,Not Available,29936.0
1974.0,1964.6,Office,90041,Not Available,1.0,Not Available,54287.0
1986.0,4224.2,Multifamily Housing,91367,Not Available,1.0,4224.2,78653.0
2016.0,2215.7,Manufacturing/Industrial Plant,90066,Not Available,1.0,Not Available,95777.0
,,,90048,,,,
,,,90012,,,,
,,,91352,,,,
1991.0,934.9,Mixed Use Property,90015,Not Available,1.0,934.9,27889.0
1971.0,601.4,Multifamily Housing,90034,Not Available,1.0,Not Available,24000.0
1971.0,2182.8,Multifamily Housing,91324,Not Available,1.0,Not Available,31674.0
2001.0,3186,Other - Public Services,90037,Not Available,1.0,Not Available,134044.0
2000.0,1172.9,Multifamily Housing,91406,Not Available,1.0,Not Available,24952.0
2016.0,9925.8,Multifamily Housing,90021,Not Available,1.0,Not Available,45666.0
1974.0,920.1,Multifamily Housing,91423,Not Available,1.0,920.1,29074.0
2002.0,1713.8,Multifamily Housing,90017,Not Available,1.0,Not Available,30843.0
1997.0,617,Self-Storage Facility,90023,Not Available,1.0,617,72243.0
1987.0,3783.6,Multifamily Housing,91325,Not Available,1.0,Not Available,88500.0
1978.0,859.5,Multifamily Housing,90291,Not Available,1.0,Not Available,30261.0
1980.0,1658.4,Multifamily Housing,91405,Not Available,1.0,Not Available,26552.0
1985.0,83,Non-Refrigerated Warehouse,91352,Not Available,1.0,Not Available,30408.0
1975.0,3280.2,Multifamily Housing,91325,Not Available,1.0,Not Available,32076.0
1950.0,1821.9,Office,90094,1532.5,1.0,289.4,37463.0
1990.0,56.3,Other - Services,91303,Not Available,1.0,27.1,15197.0
1978.0,283.5,Manufacturing/Industrial Plant,91324,Not Available,1.0,Not Available,41622.0
1983.0,Not Available,"Repair Services (Vehicle, Shoe, Locksmith, etc.)",91405,Not Available,1.0,Not Available,25596.0
1959.0,1523,Multifamily Housing,91606,Not Available,1.0,Not Available,27171.0
1976.0,4041.7,Multifamily Housing,91311,Not Available,1.0,Not Available,50990.0
,,,91331,,,,
1986.0,2313,Office,90013,Not Available,1.0,Not Available,140409.0
1970.0,263.9,Other,91352,Not Available,1.0,Not Available,44712.0
2016.0,4615.5,Multifamily Housing,90038,Not Available,1.0,Not Available,207726.0
,,,90039,,,,
,,,90039,,,,
,,,91605,,,,
,,,91335,,,,
2002.0,3094.7,Multifamily Housing,90031,Not Available,1.0,Not Available,55100.0
1985.0,6701.8,Multifamily Housing,90020,Not Available,1.0,Not Available,81043.0
,,,90017,,,,
,,,91405,,,,
1965.0,1267.9,Office,90020,Not Available,1.0,Not Available,56072.0
2007.0,2223.2,Senior Living Community,90029,Not Available,1.0,Not Available,53868.0
,,,91601,,,,
1971.0,816.1,Multifamily Housing,90049,Not Available,1.0,Not Available,30999.0
