YEAR BUILT,TOTAL WATER USE (kgal),PROPERTY TYPE,POSTAL CODE,OUTDOOR WATER USE (kgal),NUMBER OF BUILDINGS,INDOOR WATER USE (kgal),GROSS BUILDING FLOOR AREA (ft²)
1980.0,31789.6,Hospital (General Medical & Surgical),91405,0.0,1.0,31789.6,560878.0
1981.0,753.8,Office,90067,669.6,1.0,84.2,904927.0
1981.0,600.5,Office,90067,557,1.0,43.5,904927.0
1989.0,1949.4,Non-Refrigerated Warehouse,91342,600.1,1.0,1349.3,157000.0
2001.0,52.8,Parking,90016,18.1,1.0,34.8,176295.0
1997.0,963.4,Museum,90049,629.8,1.0,333.6,22566.0
2001.0,52.2,Parking,90016,29.3,1.0,22.9,176295.0
1984.0,1526.2,Office,91311,217.6,1.0,1308.6,89748.0
1986.0,4512.2,Office,91311,2195.1,1.0,0.0,134490.0
1929.0,1567.9,Worship Facility,90010,548.3,3.0,774.2,94500.0
1981.0,653.3,Office,90067,573.5,1.0,79.8,904927.0
2010.0,1602.6,Multifamily Housing,91423,89.7,1.0,1512.9,48318.0
1973.0,2500.6,Office,90048,83.2,1.0,2417.4,232261.0
1980.0,32640.3,Hospital (General Medical & Surgical),91405,0.0,1.0,32640.3,560878.0
1992.0,16431.1,Residential Care Facility,91345,5298.5,1.0,11132.6,147310.0
1950.0,670.6,Office,90094,464.1,1.0,206.4,37463.0
1927.0,1820.6,Other,90005,336.5,1.0,1484.1,75000.0
1997.0,2758.8,Museum,90049,2471.6,1.0,287.3,22566.0
1942.0,1536.4,Office,90094,1063.4,1.0,472.9,85832.0
1994.0,1200.5,Manufacturing/Industrial Plant,91342,1023.4,1.0,177.1,32114.0
1927.0,241.9,Worship Facility,90005,47.0,1.0,194.9,109016.0
2001.0,2329.5,Worship Facility,90016,1849.9,1.0,479.6,108883.0
2005.0,17395.9,Medical Office,91304,2512.0,1.0,14884.0,160740.0
1950.0,670.6,Office,90094,464.1,1.0,206.4,37463.0
1998.0,18127.9,Refrigerated Warehouse,91406,535.7,1.0,17592.2,129469.0
1998.0,8665.2,Office,90012,2488.3,1.0,6176.9,541704.0
1999.0,6659.5,Office,91304,2535.9,1.0,4123.6,160498.0
2001.0,1474.8,Distribution Center,90501,419.6,1.0,1055.2,120285.0
1999.0,5971.0,Office,91304,2511.2,1.0,3459.7,160681.0
1980.0,1287.4,Non-Refrigerated Warehouse,90502,756.1,1.0,531.2,129656.0
1989.0,1388.3,Other,91352,125.7,2.0,1262.6,118035.0
1995.0,3607.8,Office,91311,3307,1.0,300.8,52222.0
1997.0,1020,Museum,90049,734.8,1.0,285.2,22566.0
1997.0,3321.7,Parking,90049,3069.2,1.0,252.5,441774.0
1981.0,1793.9,Office,91604,642.4,1.0,1151.6,72021.0
2007.0,1490.1,Other,91607,172.8,1.0,1317.3,28906.0
1996.0,416.8,Other - Mall,90035,62.8,1.0,354,82959.0
1981.0,674.1,Office,90067,623.8,1.0,50.3,904927.0
1992.0,18850,Residential Care Facility,91345,5073,1.0,13777,147310.0
1971.0,6473.5,Office,90036,2169.4,1.0,4304,452763.0
2001.0,1629.2,Worship Facility,90016,1375,1.0,254.2,108883.0
2001.0,145.8,Parking,90016,35.9,1.0,109.9,176295.0
1998.0,18490.1,Refrigerated Warehouse,91406,549.5,1.0,17940.6,129469.0
1998.0,8091.8,Office,90012,3811.7,1.0,4280.1,541704.0
1981.0,908.1,Office,91604,239.4,1.0,668.8,72021.0
1992.0,15979.1,Residential Care Facility,91345,6242.9,1.0,9736.2,147310.0
1976.0,2590.5,Other,91356,303.3,2.0,2287.2,66000.0
1994.0,1126.6,Manufacturing/Industrial Plant,91342,841.4,1.0,285.2,32114.0
2000.0,546.2,Museum,91342,483.9,4.0,62.3,57615.0
1999.0,5646.1,Office,91304,2582.3,1.0,3063.8,160498.0
1966.0,2802.3,Worship Facility,90024,1952.9,1.0,849.4,19512.0
1981.0,682.2,Office,90067,602.8,1.0,79.4,904927.0
2001.0,2249.2,Worship Facility,90016,1770.4,1.0,478.7,108883.0
1992.0,5162.7,Office,90036,627.3,1.0,2438.3,188169.0
1984.0,1842.3,Multifamily Housing,90744,121.9,1.0,1720.4,26400.0
1971.0,7932.6,Office,90036,1778.1,1.0,6154.4,435956.0
1954.0,678.4,Retail Store,91343,382.2,2.0,296.2,27752.0
1999.0,5202,Office,91304,2587.5,1.0,2614.5,160681.0
1995.0,5394.2,Office,91311,3303.7,1.0,2090.4,52222.0
2004.0,82.5,Other,90035,43.6,1.0,38.9,23671.0
1984.0,1656.4,Office,91311,176.1,1.0,1480.4,89748.0
2001.0,1996.2,Worship Facility,90016,1538.3,1.0,457.9,108883.0
1951.0,1911.6,Office,90048,169.7,1.0,1741.9,136947.0
2007.0,1860.6,Office,90044,298,1.0,1562.5,210000.0
1998.0,2193.2,Distribution Center,91406,936.6,1.0,1256.7,116695.0
1976.0,2227.3,Other,91356,238.2,2.0,1989.1,66000.0
2002.0,1086,Non-Refrigerated Warehouse,91352,509.3,1.0,576.7,138500.0
2017.0,3494.1,Residential Care Facility,91335,871.5,1.0,2622.6,212000.0
1977.0,7275.4,Manufacturing/Industrial Plant,90502,3826.8,1.0,3448.7,276000.0
1989.0,703.8,Other,91352,195.2,2.0,508.5,118035.0
1971.0,7501.5,Office,90036,1501.3,1.0,6000.1,502495.0
2017.0,3546.3,Residential Care Facility,91335,67.6,1.0,3478.6,212000.0
1929.0,1775.9,Worship Facility,90010,828.8,3.0,643.3,94500.0
2003.0,4482,Senior Care Community,91403,307.4,1.0,4174.6,93604.0
2001.0,143.3,Parking,90016,20.5,1.0,122.8,176295.0
1994.0,1288.6,Manufacturing/Industrial Plant,91342,991,1.0,297.6,32114.0
2002.0,1120.3,Non-Refrigerated Warehouse,91352,522.4,1.0,597.9,138500.0
2001.0,234.2,Parking,90016,30.5,1.0,203.7,176295.0
1998.0,12675.6,Refrigerated Warehouse,91406,664.9,1.0,12010.7,129469.0
1992.0,36250.2,Residential Care Facility,91345,4492.9,1.0,31757.3,147310.0
1999.0,4951.9,Office,91304,2196.3,1.0,2755.6,133720.0
2005.0,15335.4,Medical Office,91304,2595,1.0,12740.4,160740.0
1977.0,5972.7,Manufacturing/Industrial Plant,90502,2402.7,1.0,3570,276000.0
1979.0,6614.5,Office,91367,3719.1,1.0,2895.4,273570.0
1998.0,9250.5,Office,90012,2932,1.0,6318.5,541704.0
1971.0,2528,Multifamily Housing,91324,438.1,1.0,2089.9,31674.0
1942.0,1457.2,Office,90094,1330.1,1.0,127.1,70649.0
1950.0,891.6,Office,90094,824.9,1.0,66.7,37059.0
2006.0,5050.3,Senior Living Community,91356,421.2,1.0,4629.2,180913.0
2009.0,2346.6,Wholesale Club/Supercenter,91331,1830.3,1.0,516.3,139410.0
2005.0,12305.9,Medical Office,91304,2220.7,1.0,10085.2,160740.0
1984.0,1292.5,Manufacturing/Industrial Plant,91311,38.1,1.0,1254.4,89748.0
2002.0,993.1,Non-Refrigerated Warehouse,91352,521.9,1.0,471.3,138500.0
2013.0,359.1,Distribution Center,90502,210.2,1.0,148.9,142053.0
1997.0,775.4,Museum,90049,323.2,1.0,452.2,22566.0
1951.0,15023.4,Other - Mall,90024,105.9,1.0,7142.3,202202.0
1997.0,3042.1,Parking,90049,2393.1,1.0,649,441774.0
1927.0,512.7,Worship Facility,90005,38.4,1.0,474.4,109016.0
2001.0,85.8,Parking,90016,27.8,1.0,58,176295.0
1999.0,1298.1,Distribution Center,91406,1104.8,1.0,193.3,98840.0
2001.0,1564.4,Worship Facility,90016,1227.5,1.0,336.9,108883.0
1981.0,617.6,Office,90067,557.7,1.0,59.9,904927.0
1998.0,4628.6,Office,90012,489.9,1.0,4138.7,541704.0
1994.0,976.4,Manufacturing/Industrial Plant,91342,736.7,1.0,239.7,32114.0
1973.0,767.1,Office,90066,385.3,1.0,381.8,131942.0
1965.0,3316.9,Multifamily Housing,91343,850.4,1.0,2466.5,59495.0
1971.0,5019.6,Office,90036,22.1,1.0,4997.5,452763.0
1957.0,709.4,Worship Facility,91352,29.3,11.0,680.2,163437.0
1929.0,1796.8,Worship Facility,90010,398.7,3.0,997.9,94500.0
1992.0,17803.7,Residential Care Facility,91345,4108.2,1.0,13695.6,147310.0
1929.0,1550.7,Worship Facility,90010,541.6,3.0,671.8,94500.0
2013.0,629.1,Distribution Center,90502,491.5,1.0,137.6,142053.0
2013.0,767.5,Distribution Center,90502,653,1.0,114.5,142053.0
1929.0,1456.5,Worship Facility,90010,372.5,3.0,473.5,94500.0
2013.0,501.9,Distribution Center,90502,356.8,1.0,145.1,164553.0
1929.0,1499.1,Worship Facility,90010,375.5,3.0,599.9,94500.0
2013.0,508.7,Distribution Center,90502,303,1.0,205.7,142053.0
1993.0,51.2,Parking,90071,42.2,1.0,9,272000.0
1965.0,3466.2,Multifamily Housing,91343,2333.1,1.0,1133.1,59495.0
1957.0,446.8,Worship Facility,91352,18.2,11.0,428.6,163437.0
2003.0,3568.7,Senior Living Community,91403,430.3,1.0,3138.4,93604.0
1957.0,557.3,Worship Facility,91352,100.9,11.0,456.4,163437.0
1957.0,575.3,Worship Facility,91352,23.8,11.0,551.5,163437.0
